data_broker,model,prompting_strategy,combined_prompting_strategy,pattern_name,status,task_completion,classification_accuracy,explanation_accuracy,is_correct_classification,model_found,actual_found,verification
thinkdatagroup.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Adding Steps,found,,Incorrect,Incorrect,False,True,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Privacy Policy sections 13.c, 13.k, and related links extracted; opt-out form fields and required attributes observed in DOM via interactive element metadata.', 'details': 'No CAPTCHA or authentication encountered; some earlier timeouts during scrolling, but no access-blocking mechanisms.'}"
thinkdatagroup.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Privacy Mazes,found,,Incorrect,Incorrect,False,True,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Privacy Policy sections 13.c, 13.k, and related links extracted; opt-out form fields and required attributes observed in DOM via interactive element metadata.', 'details': 'No CAPTCHA or authentication encountered; some earlier timeouts during scrolling, but no access-blocking mechanisms.'}"
stackadapt.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Creating Barriers,found,,Correct,Correct,True,True,True,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': None, 'static_html_findings': None, 'details': 'Some automation timeouts occurred during navigation, but the site content remained accessible; no anti-bot or CAPTCHA blocks observed.'}"
stackadapt.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Adding Steps,found,Complete,Correct,Correct,True,True,True,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': None, 'static_html_findings': None, 'details': 'Some automation timeouts occurred during navigation, but the site content remained accessible; no anti-bot or CAPTCHA blocks observed.'}"
stackadapt.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Privacy Mazes,not found,Complete,Correct,Correct,True,False,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': None, 'static_html_findings': None, 'details': 'Some automation timeouts occurred during navigation, but the site content remained accessible; no anti-bot or CAPTCHA blocks observed.'}"
thedatagroup.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Creating Barriers,found,,Correct,Incorrect,True,True,True,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Form fields and instructions were retrievable; no CAPTCHA or access blocks encountered during inspection.', 'details': 'One earlier automation timeout occurred, but was not due to website verification.'}"
thedatagroup.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Adding Steps,not found,,Correct,Correct,True,False,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Form fields and instructions were retrievable; no CAPTCHA or access blocks encountered during inspection.', 'details': 'One earlier automation timeout occurred, but was not due to website verification.'}"
thedatagroup.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Privacy Mazes,found,,Incorrect,Incorrect,False,True,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Form fields and instructions were retrievable; no CAPTCHA or access blocks encountered during inspection.', 'details': 'One earlier automation timeout occurred, but was not due to website verification.'}"
trueblueanalytics.org,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Creating Barriers,found,,Correct,Partial,True,True,True,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'California Privacy Disclosure content successfully extracted; webform loaded and fields enumerated.', 'details': None}"
trueblueanalytics.org,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Adding Steps,found,,Incorrect,Incorrect,False,True,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'California Privacy Disclosure content successfully extracted; webform loaded and fields enumerated.', 'details': None}"
trueblueanalytics.org,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Privacy Mazes,found,,Incorrect,Incorrect,False,True,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'California Privacy Disclosure content successfully extracted; webform loaded and fields enumerated.', 'details': None}"
thomsonreuters.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Creating Barriers,found,,Correct,Incorrect,True,True,True,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': None, 'static_html_findings': None, 'details': 'reCAPTCHA present on the DSAR form but did not block observation; submission was not attempted per instructions.'}"
thomsonreuters.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Adding Steps,found,,Incorrect,Incorrect,False,True,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': None, 'static_html_findings': None, 'details': 'reCAPTCHA present on the DSAR form but did not block observation; submission was not attempted per instructions.'}"
thomsonreuters.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Privacy Mazes,not found,,Correct,Correct,True,False,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': None, 'static_html_findings': None, 'details': 'reCAPTCHA present on the DSAR form but did not block observation; submission was not attempted per instructions.'}"
transunion.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Adding Steps,found,,Incorrect,Incorrect,False,True,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': None, 'static_html_findings': None, 'details': 'No bot or verification blocks encountered; earlier automation timeouts were not site-enforced blocks.'}"
transunion.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Privacy Mazes,not found,,Correct,Correct,True,False,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': None, 'static_html_findings': None, 'details': 'No bot or verification blocks encountered; earlier automation timeouts were not site-enforced blocks.'}"
stirista.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Creating Barriers,found,,Correct,Correct,True,True,True,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': None, 'static_html_findings': None, 'details': None}"
stirista.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Adding Steps,found,Complete,Correct,Correct,True,True,True,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': None, 'static_html_findings': None, 'details': None}"
stirista.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Privacy Mazes,found,Complete,Incorrect,Unsure,False,True,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': None, 'static_html_findings': None, 'details': None}"
steppingblocks.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Creating Barriers,found,Complete,Incorrect,Unsure,False,True,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': None, 'static_html_findings': None, 'details': 'No captcha or access verification barriers encountered during navigation; earlier action timeouts were automation-related, not site-imposed blocks.'}"
steppingblocks.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Adding Steps,found,Complete,Incorrect,Incorrect,False,True,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': None, 'static_html_findings': None, 'details': 'No captcha or access verification barriers encountered during navigation; earlier action timeouts were automation-related, not site-imposed blocks.'}"
steppingblocks.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Privacy Mazes,not found,Complete,Correct,Correct,True,False,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': None, 'static_html_findings': None, 'details': 'No captcha or access verification barriers encountered during navigation; earlier action timeouts were automation-related, not site-imposed blocks.'}"
theworknumber.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Creating Barriers,found,,Correct,Incorrect,True,True,True,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Collected static text from TWN 404 pages, Equifax privacy pages, and Adobe Sign CPRA form; no bot or CAPTCHA encountered.', 'details': 'Initial CPRA SPA on TWN briefly rendered blank before later showing a link; other links resolved to 404 pages.'}"
theworknumber.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Adding Steps,found,,Incorrect,Incorrect,False,True,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Collected static text from TWN 404 pages, Equifax privacy pages, and Adobe Sign CPRA form; no bot or CAPTCHA encountered.', 'details': 'Initial CPRA SPA on TWN briefly rendered blank before later showing a link; other links resolved to 404 pages.'}"
theworknumber.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Privacy Mazes,found,,Incorrect,Incorrect,False,True,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Collected static text from TWN 404 pages, Equifax privacy pages, and Adobe Sign CPRA form; no bot or CAPTCHA encountered.', 'details': 'Initial CPRA SPA on TWN briefly rendered blank before later showing a link; other links resolved to 404 pages.'}"
t-mobile.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Creating Barriers,not found,Incomplete,Incorrect,Incorrect,False,False,True,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': None, 'static_html_findings': None, 'details': 'Standard reCAPTCHA present on submission; no blocking encountered during evaluation.'}"
t-mobile.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Adding Steps,not found,Complete,Incorrect,Incorrect,False,False,True,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': None, 'static_html_findings': None, 'details': 'Standard reCAPTCHA present on submission; no blocking encountered during evaluation.'}"
t-mobile.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Privacy Mazes,found,Complete,Correct,Correct,True,True,True,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': None, 'static_html_findings': None, 'details': 'Standard reCAPTCHA present on submission; no blocking encountered during evaluation.'}"
spyfly.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Creating Barriers,not found,,Incorrect,Incorrect,False,False,True,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Cloudflare human verification widget present; inline messages: ""Please confirm you are human..."" and ""Please confirm you are not a robot.""', 'details': 'Bot-detection widget visible but did not block page access; per instructions, not considered a dark pattern.'}"
spyfly.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Adding Steps,not found,Complete,Correct,Correct,True,False,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Cloudflare human verification widget present; inline messages: ""Please confirm you are human..."" and ""Please confirm you are not a robot.""', 'details': 'Bot-detection widget visible but did not block page access; per instructions, not considered a dark pattern.'}"
spyfly.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Privacy Mazes,not found,Complete,Correct,Correct,True,False,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Cloudflare human verification widget present; inline messages: ""Please confirm you are human..."" and ""Please confirm you are not a robot.""', 'details': 'Bot-detection widget visible but did not block page access; per instructions, not considered a dark pattern.'}"
throtle.io,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Adding Steps,not found,,Correct,Correct,True,False,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Privacy Policy text fully extracted (Sections I–XXXI). DSAR form content inspected; no bot checks blocked access beyond a standard captcha.', 'details': 'Encountered standard captcha on DSAR form (not treated as a dark pattern per instructions); no Cloudflare or MFA challenges occurred.'}"
throtle.io,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Privacy Mazes,found,,Incorrect,Incorrect,False,True,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Privacy Policy text fully extracted (Sections I–XXXI). DSAR form content inspected; no bot checks blocked access beyond a standard captcha.', 'details': 'Encountered standard captcha on DSAR form (not treated as a dark pattern per instructions); no Cloudflare or MFA challenges occurred.'}"
swoop.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Creating Barriers,found,Complete,Incorrect,Incorrect,False,True,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Accordion content with Right to Know and submission methods visible; opt-out page loaded without restrictions.', 'details': None}"
swoop.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Adding Steps,found,Complete,Incorrect,Unsure,False,True,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Accordion content with Right to Know and submission methods visible; opt-out page loaded without restrictions.', 'details': None}"
swoop.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Privacy Mazes,found,Complete,Incorrect,Incorrect,False,True,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Accordion content with Right to Know and submission methods visible; opt-out page loaded without restrictions.', 'details': None}"
unearthcampaigns.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Creating Barriers,found,Complete,Correct,Correct,True,True,True,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': ""A Cloudflare 'Verify you are human' widget is present near the Submit button on the webform."", 'details': 'No CAPTCHA challenge was triggered during review; we did not attempt submission.'}"
unearthcampaigns.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Adding Steps,found,Complete,Incorrect,Incorrect,False,True,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': ""A Cloudflare 'Verify you are human' widget is present near the Submit button on the webform."", 'details': 'No CAPTCHA challenge was triggered during review; we did not attempt submission.'}"
unearthcampaigns.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Privacy Mazes,not found,Complete,Correct,Correct,True,False,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': ""A Cloudflare 'Verify you are human' widget is present near the Submit button on the webform."", 'details': 'No CAPTCHA challenge was triggered during review; we did not attempt submission.'}"
venntel.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Creating Barriers,found,Complete,Correct,Correct,True,True,True,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Right to Know page displays HubSpot form fields with required=true attributes and reCAPTCHA; Privacy Policy lists phone, email, and mail contact methods.', 'details': 'reCAPTCHA present but not triggered as submission was not attempted.'}"
venntel.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Adding Steps,found,Complete,Incorrect,Incorrect,False,True,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Right to Know page displays HubSpot form fields with required=true attributes and reCAPTCHA; Privacy Policy lists phone, email, and mail contact methods.', 'details': 'reCAPTCHA present but not triggered as submission was not attempted.'}"
venntel.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Privacy Mazes,not found,Complete,Correct,Correct,True,False,False,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': True, 'static_html_findings': 'Right to Know page displays HubSpot form fields with required=true attributes and reCAPTCHA; Privacy Policy lists phone, email, and mail contact methods.', 'details': 'reCAPTCHA present but not triggered as submission was not attempted.'}"
thebridgecorp.com,gpt-5,obstruction_zero_shot_regulator_role,Zero shot + Role,Adding Steps,found,,Correct,Incorrect,True,True,True,"{'blocked': False, 'blocker_type': None, 'blocker_message': None, 'blocked_stage': None, 'static_html_checked': None, 'static_html_findings': None, 'details': 'CAPTCHA present but did not block inspection; no submission attempted.'}"
