pattern_name,data_broker,time_stamp,status,file_path,is_successful,blocked,block_category
Forced Registration,dealerx.com,20260213-060144,not found,../../browser_history_output/dealerx.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260213-060144,True,False,no_blocking
Bad Defaults,dealerx.com,20260213-060144,not found,../../browser_history_output/dealerx.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260213-060144,True,False,no_blocking
Choice Overload,dealerx.com,20260213-060144,not found,../../browser_history_output/dealerx.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260213-060144,True,False,no_blocking
Hidden Information,choreograph.com,20260213-094041,not found,../../browser_history_output/choreograph.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260213-094041,True,False,no_blocking
Visual Prominence,choreograph.com,20260213-094041,not found,../../browser_history_output/choreograph.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260213-094041,True,False,no_blocking
Feedforward Ambiguity,choreograph.com,20260213-094041,not found,../../browser_history_output/choreograph.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260213-094041,True,False,no_blocking
Dead Ends,choreograph.com,20260207-131931,not found,../../browser_history_output/choreograph.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260207-131931,True,False,no_blocking
Creating Barriers,choreograph.com,20260207-131931,found,../../browser_history_output/choreograph.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260207-131931,True,False,no_blocking
Adding Steps,choreograph.com,20260207-131931,not found,../../browser_history_output/choreograph.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260207-131931,True,False,no_blocking
Privacy Mazes,choreograph.com,20260207-131931,not found,../../browser_history_output/choreograph.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260207-131931,True,False,no_blocking
Conflicting Information,choreograph.com,20260212-205027,not found,../../browser_history_output/choreograph.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260212-205027,True,False,no_blocking
Information Without Context,choreograph.com,20260212-205027,not found,../../browser_history_output/choreograph.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260212-205027,True,False,no_blocking
Forced Registration,choreograph.com,20260212-205027,not found,../../browser_history_output/choreograph.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260212-205027,True,False,no_blocking
Bad Defaults,choreograph.com,20260212-205027,not found,../../browser_history_output/choreograph.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260212-205027,True,False,no_blocking
Choice Overload,choreograph.com,20260212-205027,not found,../../browser_history_output/choreograph.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260212-205027,True,False,no_blocking
Hidden Information,locatesmarter.com,20260210-061326,not found,../../browser_history_output/locatesmarter.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260210-061326,True,False,no_blocking
Visual Prominence,locatesmarter.com,20260210-061326,not found,../../browser_history_output/locatesmarter.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260210-061326,True,False,no_blocking
Feedforward Ambiguity,locatesmarter.com,20260210-061326,not found,../../browser_history_output/locatesmarter.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260210-061326,True,False,no_blocking
Dead Ends,locatesmarter.com,20260205-010320,not found,../../browser_history_output/locatesmarter.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260205-010320,True,False,no_blocking
Creating Barriers,locatesmarter.com,20260205-010320,not found,../../browser_history_output/locatesmarter.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260205-010320,True,False,no_blocking
Adding Steps,locatesmarter.com,20260205-010320,found,../../browser_history_output/locatesmarter.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260205-010320,True,False,no_blocking
Privacy Mazes,locatesmarter.com,20260205-010320,not found,../../browser_history_output/locatesmarter.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260205-010320,True,False,no_blocking
Hidden Information,liveramp.com,20260210-052011,not found,../../browser_history_output/liveramp.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260210-052011,True,False,no_blocking
Visual Prominence,liveramp.com,20260210-052011,not found,../../browser_history_output/liveramp.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260210-052011,True,False,no_blocking
Feedforward Ambiguity,liveramp.com,20260210-052011,not found,../../browser_history_output/liveramp.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260210-052011,True,False,no_blocking
Dead Ends,liveramp.com,20260205-002449,not found,../../browser_history_output/liveramp.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260205-002449,True,False,no_blocking
Creating Barriers,liveramp.com,20260205-002449,found,../../browser_history_output/liveramp.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260205-002449,True,False,no_blocking
Adding Steps,liveramp.com,20260205-002449,not found,../../browser_history_output/liveramp.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260205-002449,True,False,no_blocking
Privacy Mazes,liveramp.com,20260205-002449,found,../../browser_history_output/liveramp.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260205-002449,True,False,no_blocking
Conflicting Information,liveramp.com,20260210-090154,not found,../../browser_history_output/liveramp.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-090154,True,False,no_blocking
Information Without Context,liveramp.com,20260210-090154,not found,../../browser_history_output/liveramp.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-090154,True,False,no_blocking
Forced Registration,liveramp.com,20260210-090154,not found,../../browser_history_output/liveramp.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-090154,True,False,no_blocking
Bad Defaults,liveramp.com,20260210-090154,not found,../../browser_history_output/liveramp.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-090154,True,False,no_blocking
Choice Overload,liveramp.com,20260210-090154,found,../../browser_history_output/liveramp.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-090154,True,False,no_blocking
Hidden Information,forewarn.com,20260211-161254,not found,../../browser_history_output/forewarn.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260211-161254,True,False,no_blocking
Visual Prominence,forewarn.com,20260211-161254,not found,../../browser_history_output/forewarn.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260211-161254,True,False,no_blocking
Feedforward Ambiguity,forewarn.com,20260211-161254,not found,../../browser_history_output/forewarn.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260211-161254,True,False,no_blocking
Dead Ends,forewarn.com,20260205-201445,not found,../../browser_history_output/forewarn.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260205-201445,True,False,no_blocking
Creating Barriers,forewarn.com,20260205-201445,not found,../../browser_history_output/forewarn.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260205-201445,True,False,no_blocking
Adding Steps,forewarn.com,20260205-201445,not found,../../browser_history_output/forewarn.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260205-201445,True,False,no_blocking
Privacy Mazes,forewarn.com,20260205-201445,not found,../../browser_history_output/forewarn.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260205-201445,True,False,no_blocking
Conflicting Information,forewarn.com,20260210-223818,not found,../../browser_history_output/forewarn.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-223818,True,False,no_blocking
Information Without Context,forewarn.com,20260210-223818,not found,../../browser_history_output/forewarn.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-223818,True,False,no_blocking
Forced Registration,forewarn.com,20260210-223818,not found,../../browser_history_output/forewarn.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-223818,True,False,no_blocking
Bad Defaults,forewarn.com,20260210-223818,not found,../../browser_history_output/forewarn.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-223818,True,False,no_blocking
Choice Overload,forewarn.com,20260210-223818,not found,../../browser_history_output/forewarn.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-223818,True,False,no_blocking
Hidden Information,attribits.com,20260212-232003,found,../../browser_history_output/attribits.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260212-232003,True,False,no_blocking
Visual Prominence,attribits.com,20260212-232003,not found,../../browser_history_output/attribits.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260212-232003,True,False,no_blocking
Feedforward Ambiguity,attribits.com,20260212-232003,not found,../../browser_history_output/attribits.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260212-232003,True,False,no_blocking
Dead Ends,attribits.com,20260207-042121,found,../../browser_history_output/attribits.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260207-042121,True,False,no_blocking
Creating Barriers,attribits.com,20260207-042121,found,../../browser_history_output/attribits.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260207-042121,True,False,no_blocking
Adding Steps,attribits.com,20260207-042121,not found,../../browser_history_output/attribits.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260207-042121,True,False,no_blocking
Privacy Mazes,attribits.com,20260207-042121,not found,../../browser_history_output/attribits.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260207-042121,True,False,no_blocking
Conflicting Information,attribits.com,20260212-102423,not found,../../browser_history_output/attribits.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260212-102423,True,False,no_blocking
Information Without Context,attribits.com,20260212-102423,found,../../browser_history_output/attribits.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260212-102423,True,False,no_blocking
Forced Registration,attribits.com,20260212-102423,not found,../../browser_history_output/attribits.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260212-102423,True,False,no_blocking
Bad Defaults,attribits.com,20260212-102423,not found,../../browser_history_output/attribits.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260212-102423,True,False,no_blocking
Choice Overload,attribits.com,20260212-102423,not found,../../browser_history_output/attribits.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260212-102423,True,False,no_blocking
Hidden Information,eprodirect.com,20260214-024201,not found,../../browser_history_output/eprodirect.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260214-024201,True,False,no_blocking
Visual Prominence,eprodirect.com,20260214-024201,not found,../../browser_history_output/eprodirect.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260214-024201,True,False,no_blocking
Feedforward Ambiguity,eprodirect.com,20260214-024201,found,../../browser_history_output/eprodirect.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260214-024201,True,False,no_blocking
Dead Ends,eprodirect.com,20260205-113546,not found,../../browser_history_output/eprodirect.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260205-113546,True,False,no_blocking
Creating Barriers,eprodirect.com,20260205-113546,not found,../../browser_history_output/eprodirect.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260205-113546,True,False,no_blocking
Adding Steps,eprodirect.com,20260205-113546,not found,../../browser_history_output/eprodirect.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260205-113546,True,False,no_blocking
Privacy Mazes,eprodirect.com,20260205-113546,found,../../browser_history_output/eprodirect.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260205-113546,True,False,no_blocking
Conflicting Information,eprodirect.com,20260213-142522,not found,../../browser_history_output/eprodirect.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260213-142522,True,False,no_blocking
Information Without Context,eprodirect.com,20260213-142522,found,../../browser_history_output/eprodirect.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260213-142522,True,False,no_blocking
Forced Registration,eprodirect.com,20260213-142522,not found,../../browser_history_output/eprodirect.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260213-142522,True,False,no_blocking
Bad Defaults,eprodirect.com,20260213-142522,not found,../../browser_history_output/eprodirect.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260213-142522,True,False,no_blocking
Choice Overload,eprodirect.com,20260213-142522,not found,../../browser_history_output/eprodirect.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260213-142522,True,False,no_blocking
Hidden Information,jdmlistservices.com,20260209-221341,not found,../../browser_history_output/jdmlistservices.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260209-221341,True,False,no_blocking
Visual Prominence,jdmlistservices.com,20260209-221341,found,../../browser_history_output/jdmlistservices.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260209-221341,True,False,no_blocking
Feedforward Ambiguity,jdmlistservices.com,20260209-221341,not found,../../browser_history_output/jdmlistservices.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260209-221341,True,False,no_blocking
Dead Ends,jdmlistservices.com,20260204-152649,not found,../../browser_history_output/jdmlistservices.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260204-152649,True,False,no_blocking
Creating Barriers,jdmlistservices.com,20260204-152649,not found,../../browser_history_output/jdmlistservices.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260204-152649,True,False,no_blocking
Adding Steps,jdmlistservices.com,20260204-152649,not found,../../browser_history_output/jdmlistservices.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260204-152649,True,False,no_blocking
Privacy Mazes,jdmlistservices.com,20260204-152649,not found,../../browser_history_output/jdmlistservices.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260204-152649,True,False,no_blocking
Conflicting Information,jdmlistservices.com,20260210-025953,not found,../../browser_history_output/jdmlistservices.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-025953,True,False,no_blocking
Information Without Context,jdmlistservices.com,20260210-025953,not found,../../browser_history_output/jdmlistservices.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-025953,True,False,no_blocking
Forced Registration,jdmlistservices.com,20260210-025953,not found,../../browser_history_output/jdmlistservices.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-025953,True,False,no_blocking
Bad Defaults,jdmlistservices.com,20260210-025953,not found,../../browser_history_output/jdmlistservices.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-025953,True,False,no_blocking
Choice Overload,jdmlistservices.com,20260210-025953,not found,../../browser_history_output/jdmlistservices.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-025953,True,False,no_blocking
Hidden Information,evs7.com,20260214-042735,not found,../../browser_history_output/evs7.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260214-042735,True,False,no_blocking
Visual Prominence,evs7.com,20260214-042735,found,../../browser_history_output/evs7.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260214-042735,True,False,no_blocking
Feedforward Ambiguity,evs7.com,20260214-042735,not found,../../browser_history_output/evs7.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260214-042735,True,False,no_blocking
Dead Ends,evs7.com,20260205-135434,not found,../../browser_history_output/evs7.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260205-135434,True,False,no_blocking
Creating Barriers,evs7.com,20260205-135434,not found,../../browser_history_output/evs7.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260205-135434,True,False,no_blocking
Adding Steps,evs7.com,20260205-135434,not found,../../browser_history_output/evs7.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260205-135434,True,False,no_blocking
Privacy Mazes,evs7.com,20260205-135434,not found,../../browser_history_output/evs7.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260205-135434,True,False,no_blocking
Conflicting Information,evs7.com,20260213-170205,not found,../../browser_history_output/evs7.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260213-170205,True,False,no_blocking
Information Without Context,evs7.com,20260213-170205,found,../../browser_history_output/evs7.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260213-170205,True,False,no_blocking
Forced Registration,evs7.com,20260213-170205,not found,../../browser_history_output/evs7.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260213-170205,True,False,no_blocking
Bad Defaults,evs7.com,20260213-170205,not found,../../browser_history_output/evs7.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260213-170205,True,False,no_blocking
Choice Overload,evs7.com,20260213-170205,not found,../../browser_history_output/evs7.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260213-170205,True,False,no_blocking
Hidden Information,issgovernance.com,20260209-183256,not found,../../browser_history_output/issgovernance.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260209-183256,True,False,no_blocking
Visual Prominence,issgovernance.com,20260209-183256,not found,../../browser_history_output/issgovernance.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260209-183256,True,False,no_blocking
Feedforward Ambiguity,issgovernance.com,20260209-183256,not found,../../browser_history_output/issgovernance.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260209-183256,True,False,no_blocking
Dead Ends,issgovernance.com,20260204-143608,not found,../../browser_history_output/issgovernance.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260204-143608,True,False,no_blocking
Creating Barriers,issgovernance.com,20260204-143608,found,../../browser_history_output/issgovernance.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260204-143608,True,False,no_blocking
Adding Steps,issgovernance.com,20260204-143608,not found,../../browser_history_output/issgovernance.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260204-143608,True,False,no_blocking
Privacy Mazes,issgovernance.com,20260204-143608,not found,../../browser_history_output/issgovernance.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260204-143608,True,False,no_blocking
Conflicting Information,issgovernance.com,20260210-021126,not found,../../browser_history_output/issgovernance.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-021126,True,False,no_blocking
Information Without Context,issgovernance.com,20260210-021126,not found,../../browser_history_output/issgovernance.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-021126,True,False,no_blocking
Forced Registration,issgovernance.com,20260210-021126,not found,../../browser_history_output/issgovernance.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-021126,True,False,no_blocking
Bad Defaults,issgovernance.com,20260210-021126,not found,../../browser_history_output/issgovernance.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-021126,True,False,no_blocking
Choice Overload,issgovernance.com,20260210-021126,not found,../../browser_history_output/issgovernance.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-021126,True,False,no_blocking
Dead Ends,outlogic.io,20260204-010039,not found,../../browser_history_output/outlogic.io/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260204-010039,True,False,no_blocking
Creating Barriers,outlogic.io,20260204-010039,found,../../browser_history_output/outlogic.io/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260204-010039,True,False,no_blocking
Adding Steps,outlogic.io,20260204-010039,not found,../../browser_history_output/outlogic.io/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260204-010039,True,False,no_blocking
Privacy Mazes,outlogic.io,20260204-010039,not found,../../browser_history_output/outlogic.io/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260204-010039,True,False,no_blocking
Conflicting Information,outlogic.io,20260209-060942,found,../../browser_history_output/outlogic.io/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260209-060942,True,False,no_blocking
Information Without Context,outlogic.io,20260209-060942,found,../../browser_history_output/outlogic.io/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260209-060942,True,False,no_blocking
Forced Registration,outlogic.io,20260209-060942,not found,../../browser_history_output/outlogic.io/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260209-060942,True,False,no_blocking
Bad Defaults,outlogic.io,20260209-060942,not found,../../browser_history_output/outlogic.io/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260209-060942,True,False,no_blocking
Choice Overload,outlogic.io,20260209-060942,not found,../../browser_history_output/outlogic.io/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260209-060942,True,False,no_blocking
Hidden Information,forager.ai,20260211-154605,not found,../../browser_history_output/forager.ai/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260211-154605,True,False,no_blocking
Visual Prominence,forager.ai,20260211-154605,found,../../browser_history_output/forager.ai/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260211-154605,True,False,no_blocking
Feedforward Ambiguity,forager.ai,20260211-154605,not found,../../browser_history_output/forager.ai/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260211-154605,True,False,no_blocking
Dead Ends,forager.ai,20260205-195309,not found,../../browser_history_output/forager.ai/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260205-195309,True,False,no_blocking
Creating Barriers,forager.ai,20260205-195309,found,../../browser_history_output/forager.ai/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260205-195309,True,False,no_blocking
Adding Steps,forager.ai,20260205-195309,not found,../../browser_history_output/forager.ai/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260205-195309,True,False,no_blocking
Privacy Mazes,forager.ai,20260205-195309,not found,../../browser_history_output/forager.ai/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260205-195309,True,False,no_blocking
Conflicting Information,forager.ai,20260210-221332,not found,../../browser_history_output/forager.ai/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-221332,True,False,no_blocking
Information Without Context,forager.ai,20260210-221332,found,../../browser_history_output/forager.ai/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-221332,True,False,no_blocking
Forced Registration,forager.ai,20260210-221332,not found,../../browser_history_output/forager.ai/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-221332,True,False,no_blocking
Bad Defaults,forager.ai,20260210-221332,not found,../../browser_history_output/forager.ai/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-221332,True,False,no_blocking
Choice Overload,forager.ai,20260210-221332,not found,../../browser_history_output/forager.ai/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-221332,True,False,no_blocking
Hidden Information,firstdirectmarketing.com,20260211-145654,not found,../../browser_history_output/firstdirectmarketing.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260211-145654,True,True,interaction_failure
Visual Prominence,firstdirectmarketing.com,20260211-145654,found,../../browser_history_output/firstdirectmarketing.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260211-145654,True,True,interaction_failure
Feedforward Ambiguity,firstdirectmarketing.com,20260211-145654,not found,../../browser_history_output/firstdirectmarketing.com/interface_interference_few_shot_regulator_role_with_CoT/gpt-5/20260211-145654,True,True,interaction_failure
Dead Ends,firstdirectmarketing.com,20260205-185732,not found,../../browser_history_output/firstdirectmarketing.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260205-185732,True,False,no_blocking
Creating Barriers,firstdirectmarketing.com,20260205-185732,not found,../../browser_history_output/firstdirectmarketing.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260205-185732,True,False,no_blocking
Adding Steps,firstdirectmarketing.com,20260205-185732,not found,../../browser_history_output/firstdirectmarketing.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260205-185732,True,False,no_blocking
Privacy Mazes,firstdirectmarketing.com,20260205-185732,not found,../../browser_history_output/firstdirectmarketing.com/obstruction_few_shot_regulator_role_with_CoT/gpt-5/20260205-185732,True,False,no_blocking
Conflicting Information,firstdirectmarketing.com,20260210-211120,not found,../../browser_history_output/firstdirectmarketing.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-211120,True,False,no_blocking
Information Without Context,firstdirectmarketing.com,20260210-211120,not found,../../browser_history_output/firstdirectmarketing.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-211120,True,False,no_blocking
Forced Registration,firstdirectmarketing.com,20260210-211120,not found,../../browser_history_output/firstdirectmarketing.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-211120,True,False,no_blocking
Bad Defaults,firstdirectmarketing.com,20260210-211120,not found,../../browser_history_output/firstdirectmarketing.com/sneaking_few_shot_regulator_role_with_CoT/gpt-5/20260210-211120,True,False,no_blocking
